Constituency Number,Constituency Name,Serial Number,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,Vote Percentage
129,MAHNAR,5,VIPIN KUMAR,Aam Aadmi Party,1398,9,1407,0.7
129,MAHNAR,6,JAI SINGH,Janshakti Janta Dal,847,2,849,0.42
129,MAHNAR,7,MITHILESH KUMAR SINGH SATHI,Sathi Aur Aapka Faisala Party,611,0,611,0.3
129,MAHNAR,8,YOGANAND KUMAR SINGH KUSVAHA,Ambedkar National Congress,347,1,348,0.17
129,MAHNAR,9,RAVIRANJAN KUMAR SINGH,Vikas Insaf Party,432,1,433,0.21
129,MAHNAR,10,DR. RAJESH KUMAR,Jan Suraaj Party,4446,66,4512,2.24
129,MAHNAR,11,KIRAN YADAV,Independent,403,3,406,0.2
129,MAHNAR,12,CHANDAN KUMAR,Independent,738,5,743,0.37
129,MAHNAR,13,MITHILESH KUMAR SINGH,Independent,1826,0,1826,0.9
129,MAHNAR,14,RAMESH SAHNI,Independent,1970,4,1974,0.98
129,MAHNAR,15,VIPIN KUMAR,Independent,7598,59,7657,3.79
129,MAHNAR,16,SHIVESHWAR KUMAR,Independent,1726,3,1729,0.86
129,MAHNAR,17,SANJAY KUMAR RAY,Independent,14038,115,14153,7.01
129,MAHNAR,18,SUBODH SINGH,Independent,2029,0,2029,1.01
129,MAHNAR,19,NOTA,None of the Above,1312,9,1321,0.65
130,PATEPUR,1,PREMA CHAUDHARY,Rashtriya Janata Dal,85475,501,85976,41.03
130,PATEPUR,2,MIRA DEVI,Bahujan Samaj Party,1591,5,1596,0.76
130,PATEPUR,3,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,107977,379,108356,51.71
130,PATEPUR,4,DASAI CHAUDHARY,Jan Suraaj Party,4138,43,4181,2.0
130,PATEPUR,5,RINA KUMARI,Janshakti Janta Dal,557,2,559,0.27
130,PATEPUR,6,ANIL PASWAN,Independent,380,0,380,0.18
130,PATEPUR,7,AWANISH,Independent,365,0,365,0.17
130,PATEPUR,8,FAGUNI MANJHI,Independent,845,1,846,0.4
130,PATEPUR,9,SANJAY PASWAN,Independent,3423,0,3423,1.63
130,PATEPUR,10,SUNAINA DEVI,Independent,1260,0,1260,0.6
130,PATEPUR,11,NOTA,None of the Above,2592,6,2598,1.24
131,KALYANPUR,1,MAHESHWAR HAZARI,Janata Dal (United),117964,198,118162,49.3
131,KALYANPUR,2,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),79389,187,79576,33.2
131,KALYANPUR,3,RATNESHWAR RAM,Bahujan Samaj Party,3801,4,3805,1.59
131,KALYANPUR,4,MADHU KRISHNAJI RAM,Socialist Unity Centre Of India (COMMUNIST),2495,2,2497,1.04
131,KALYANPUR,5,RAM BALAK PASWAN,Jan Suraaj Party,16510,64,16574,6.92
131,KALYANPUR,6,OM PRAKASH,Independent,1600,3,1603,0.67
131,KALYANPUR,7,MANTESH KUMAR,Independent,3191,2,3193,1.33
131,KALYANPUR,8,RAJEEV KUMAR,Independent,5630,1,5631,2.35
131,KALYANPUR,9,NOTA,None of the Above,8624,10,8634,3.6
132,WARISNAGAR,1,UPENDRA PRASAD ROY,Aam Aadmi Party,3589,2,3591,1.53
132,WARISNAGAR,2,KANCHAN KUMARI BHARTI,Bahujan Samaj Party,1546,1,1547,0.66
132,WARISNAGAR,3,GOVIND KUMAR,Rashtriya Lok Janshakti Party,4157,21,4178,1.78
132,WARISNAGAR,4,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),74329,203,74532,31.75
132,WARISNAGAR,5,MANJARIK MRINAL,Janata Dal (United),108751,217,108968,46.41
132,WARISNAGAR,6,CHANDAN KUMAR,Hindustani Awam Manch (United),3125,5,3130,1.33
132,WARISNAGAR,7,RAM KUMAR,Rashtriya Jansambhavna Party,889,0,889,0.38
132,WARISNAGAR,8,SHAKTI KUMAR SAHNI,Right to Recall Party,1297,2,1299,0.55
132,WARISNAGAR,9,SATYANARAYAN SAHANI,Jan Suraaj Party,13005,76,13081,5.57
132,WARISNAGAR,10,ABHINAV RAJ,Independent,7248,7,7255,3.09
132,WARISNAGAR,11,ZAHID IQBAL,Independent,5428,2,5430,2.31
132,WARISNAGAR,12,DILIP ROY,Independent,2567,1,2568,1.09
132,WARISNAGAR,13,MAHESH PRASAD,Independent,2708,2,2710,1.15
132,WARISNAGAR,14,NOTA,None of the Above,5602,3,5605,2.39
133,SAMASTIPUR,1,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,81530,323,81853,41.16
133,SAMASTIPUR,2,ASHWAMEDH DEVI,Janata Dal (United),95476,252,95728,48.14
133,SAMASTIPUR,3,RAJAN KUMAR,Aam Aadmi Party,1713,2,1715,0.86
133,SAMASTIPUR,4,VINAY KUMAR RAM,Bahujan Samaj Party,589,2,591,0.3
133,SAMASTIPUR,5,IRSHAD AHMAD,Apna Kisan Party,342,0,342,0.17
133,SAMASTIPUR,6,DINESH KUMAR RAI,Rashtriya Jansambhavna Party,432,0,432,0.22
133,SAMASTIPUR,7,NITESH KUMAR SINHA,Bharatiya Sampuran Krantikari Party,683,1,684,0.34
133,SAMASTIPUR,8,PREMJEET KUMAR,Aadarsh Mithila Party,431,0,431,0.22
133,SAMASTIPUR,9,MANOJ KUMAR SINGH,Jan Suraaj Party,4911,27,4938,2.48
133,SAMASTIPUR,10,RAKESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),492,0,492,0.25
133,SAMASTIPUR,11,SHIVAM KUMAR RAJ,The Plurals Party,939,0,939,0.47
133,SAMASTIPUR,12,CHETNA JHAMB,Independent,6172,21,6193,3.11
133,SAMASTIPUR,13,NOTA,None of the Above,4520,7,4527,2.28
134,UJIARPUR,1,ANKIT KUMAR MISHRA,Aam Aadmi Party,2620,4,2624,1.14
134,UJIARPUR,2,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102292,415,102707,44.66
134,UJIARPUR,3,BULBUL KUMAR SAHNI,Bahujan Samaj Party,2445,7,2452,1.07
134,UJIARPUR,4,DURGA PRASAD SINGH,Jan Suraaj Party,9445,57,9502,4.13
134,UJIARPUR,5,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,86262,162,86424,37.58
134,UJIARPUR,6,SUNITA KUMARI,Janshakti Vikas Party (Democratic),2656,5,2661,1.16
134,UJIARPUR,7,ARUN KUMAR YADAV,Independent,893,0,893,0.39
134,UJIARPUR,8,UPENDRA KUMAR,Independent,6421,31,6452,2.81
134,UJIARPUR,9,DINESH PRASAD CHOUDHARY,Independent,987,0,987,0.43
134,UJIARPUR,10,DILIP KUMAR SAHANI,Independent,760,0,760,0.33
134,UJIARPUR,11,NIKKI JHA,Independent,993,2,995,0.43
134,UJIARPUR,12,MAHA SHANKER CHOUDHARY,Independent,3175,2,3177,1.38
134,UJIARPUR,13,RANVEER KUMAR CHOURASIYA,Independent,3458,5,3463,1.51
134,UJIARPUR,14,VIKAS KUMAR,Independent,1743,1,1744,0.76
134,UJIARPUR,15,VIRENDRA KUMAR RAY,Independent,3077,0,3077,1.34
134,UJIARPUR,16,NOTA,None of the Above,2068,9,2077,0.9
