Constituency Number,Constituency Name,Serial Number,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,Vote Percentage
1,VALMIKI NAGAR,1,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),105771,284,106055,45.39
1,VALMIKI NAGAR,2,RAMESHWAR YADAV,Bahujan Samaj Party,5294,18,5312,2.27
1,VALMIKI NAGAR,3,SURENDRA PRASAD,Indian National Congress,107374,356,107730,46.11
1,VALMIKI NAGAR,4,RAJESH SHARMA,Lok Samaj Party,2301,2,2303,0.99
1,VALMIKI NAGAR,5,AZHARUDDIN ANSARI,Independent,1553,1,1554,0.67
1,VALMIKI NAGAR,6,MAHMAD JALIL,Independent,2426,0,2426,1.04
1,VALMIKI NAGAR,7,SURENDRA RAM,Independent,1850,2,1852,0.79
1,VALMIKI NAGAR,8,NOTA,None of the Above,6391,9,6400,2.74
2,RAMNAGAR,1,AADITYA KUMAR,Bahujan Samaj Party,2649,14,2663,1.25
2,RAMNAGAR,2,NAND KISHOR RAM,Bharatiya Janata Party,114958,256,115214,54.13
2,RAMNAGAR,3,SUBODH KUMAR,Rashtriya Janata Dal,79216,318,79534,37.36
2,RAMNAGAR,4,PAPPU KUMAR RANJAN,Jan Suraaj Party,6933,59,6992,3.28
2,RAMNAGAR,5,LALAN PASWAN,Nationalist Congress Party,613,5,618,0.29
2,RAMNAGAR,6,VASHISHTHA PASWAN,Suheldev Bharatiya Samaj Party,1515,2,1517,0.71
2,RAMNAGAR,7,ANGAD RAM,Independent,1842,0,1842,0.87
2,RAMNAGAR,8,SANTOSH RAM,Independent,2294,1,2295,1.08
2,RAMNAGAR,9,NOTA,None of the Above,2178,6,2184,1.03
3,NARKATIAGANJ,1,DEEPAK YADAV,Rashtriya Janata Dal,73355,231,73586,37.41
3,NARKATIAGANJ,2,MD MOTIUR RAHMAN,Bahujan Samaj Party,941,10,951,0.48
3,NARKATIAGANJ,3,SHASHWAT KEDAR,Indian National Congress,5259,129,5388,2.74
3,NARKATIAGANJ,4,SANJAY KUMAR PANDEY,Bharatiya Janata Party,99815,229,100044,50.86
3,NARKATIAGANJ,5,DILSHAD AHMAD,Fauji Janta Party,1236,2,1238,0.63
3,NARKATIAGANJ,6,MOHAMMAD RASHID AZIM,Nationalist Congress Party,289,2,291,0.15
3,NARKATIAGANJ,7,MD. WASIULLAH,Jan Suraaj Party,4202,36,4238,2.15
3,NARKATIAGANJ,8,ISHTEYAK AHAMAD,Independent,3823,8,3831,1.95
3,NARKATIAGANJ,9,DHRUP RAM,Independent,676,0,676,0.34
3,NARKATIAGANJ,10,MAYA DEVI,Independent,2314,23,2337,1.19
3,NARKATIAGANJ,11,RAJENDRA PRASAD YADAV,Independent,1205,0,1205,0.61
3,NARKATIAGANJ,12,SAMEER SUNU,Independent,703,0,703,0.36
3,NARKATIAGANJ,13,NOTA,None of the Above,2201,2,2203,1.12
4,BAGAHA,1,JAYESH MANGALAM SINGH,Indian National Congress,100165,397,100562,44.59
4,BAGAHA,2,RAM SINGH,Bharatiya Janata Party,106638,237,106875,47.39
4,BAGAHA,3,NANDESH PANDEY URF CHUNNU PANDEY,Jan Suraaj Party,5758,41,5799,2.57
4,BAGAHA,4,MAHFOOZ ALAM,Aazad Samaj Party (Kanshi Ram),2648,11,2659,1.18
4,BAGAHA,5,RAHUL TIWARI,Right to Recall Party,1110,1,1111,0.49
4,BAGAHA,6,SHAILESH KUMAR CHAUDHARY,Bharat Jan Jagran Dal,1028,0,1028,0.46
4,BAGAHA,7,DINESH AGRAWAL,Independent,4231,8,4239,1.88
4,BAGAHA,8,NOTA,None of the Above,3253,6,3259,1.45
5,LAURIYA,1,MOHAMMAD HAROON,Bahujan Samaj Party,3426,16,3442,1.8
5,LAURIYA,2,VINAY BIHARI,Bharatiya Janata Party,96225,285,96510,50.36
5,LAURIYA,3,PAPPU KUMAR THAKUR,The Plurals Party,4030,5,4035,2.11
5,LAURIYA,4,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,69214,330,69544,36.29
5,LAURIYA,5,SUNIL KUMAR,Jan Suraaj Party,15609,113,15722,8.2
5,LAURIYA,6,NOTA,None of the Above,2385,9,2394,1.25
6,NAUTAN,1,AMIT KUMAR,Indian National Congress,79525,355,79880,38.43
6,NAUTAN,2,NARAYAN PRASAD,Bharatiya Janata Party,101725,227,101952,49.05
6,NAUTAN,3,VIRENDRA RAO,Bahujan Samaj Party,2700,14,2714,1.31
6,NAUTAN,4,AJEET KUMAR SAH,Janshakti Janta Dal,779,3,782,0.38
6,NAUTAN,5,JAI PRAKASH,Nationalist Congress Party,268,2,270,0.13
6,NAUTAN,6,SANJAY PRASAD ALIAS SANJAY KUMAR SINGH,Apni Janta Party,816,6,822,0.4
6,NAUTAN,7,SANTOSH CHAUDHARI,Jan Suraaj Party,12028,54,12082,5.81
6,NAUTAN,8,CHITRANJAN KUMAR PATEL,Independent,1530,3,1533,0.74
6,NAUTAN,9,MOHAMMAD ALI,Independent,643,2,645,0.31
6,NAUTAN,10,BIPIN BIHARI PANDEY,Independent,1990,0,1990,0.96
6,NAUTAN,11,SIKANDAR RAM,Independent,1943,0,1943,0.93
6,NAUTAN,12,NOTA,None of the Above,3215,5,3220,1.55
7,CHANPATIA,1,ABHISHEK RANJAN,Indian National Congress,87132,406,87538,40.07
7,CHANPATIA,2,UMAKANT SINGH,Bharatiya Janata Party,86714,222,86936,39.8
7,CHANPATIA,3,TRIPURARI KUMAR TIWARI ALIAS MANISH KASHYAP,Jan Suraaj Party,37057,115,37172,17.02
7,CHANPATIA,4,BIPIN TIWARI ALIAS BIPIN NATH TIWARI,Loktantrik Jan Swaraj Party,2106,2,2108,0.96
7,CHANPATIA,5,MOHAMMAD SOAIB,Independent,2091,1,2092,0.96
7,CHANPATIA,6,NOTA,None of the Above,2606,3,2609,1.19
8,BETTIAH,1,RENU DEVI,Bharatiya Janata Party,91621,286,91907,46.78
8,BETTIAH,2,WASHI AHMAD,Indian National Congress,69258,276,69534,35.39
8,BETTIAH,3,ANIL KUMAR SINGH,Jan Suraaj Party,6245,52,6297,3.21
8,BETTIAH,4,CHHATHU SHARMA,Jagrook Janta Party,780,0,780,0.4
8,BETTIAH,5,SATISH KUMAR,Sudharwadi Party,1300,0,1300,0.66
8,BETTIAH,6,ROHIT KUMAR SIKARIA,Independent,24478,187,24665,12.55
8,BETTIAH,7,NOTA,None of the Above,1977,4,1981,1.01
9,SIKTA,1,AURANGJEB,Aam Aadmi Party,2510,2,2512,1.19
9,SIKTA,2,BIRENDRA PRASAD GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),37252,179,37431,17.76
9,SIKTA,3,SANTOSH RAM,Bahujan Samaj Party,1959,5,1964,0.93
9,SIKTA,4,SAMMRIDH VARMA,Janata Dal (United),96911,262,97173,46.11
9,SIKTA,5,UTKARSH SRIVASTAVA,Jan Suraaj Party,8143,38,8181,3.88
9,SIKTA,6,PUNAM SHARMA,Jagrook Janta Party,737,0,737,0.35
9,SIKTA,7,MD. FAKHRUDDIN,Rashtriya Jansambhavna Party,2225,0,2225,1.06
9,SIKTA,8,MD ASLAM,Independent,1720,2,1722,0.82
9,SIKTA,9,KHURSHID FIROZ AHMAD,Independent,49795,234,50029,23.74
9,SIKTA,10,PRAMOD SAH,Independent,1793,0,1793,0.85
9,SIKTA,11,LALGURAD MIYAN,Independent,2426,1,2427,1.15
9,SIKTA,12,NOTA,None of the Above,4566,2,4568,2.17
10,RAXAUL,1,PRAMOD KUMAR SINHA,Bharatiya Janata Party,106498,267,106765,49.55
10,RAXAUL,2,SHYAM BIHARI PRASAD,Indian National Congress,88382,505,88887,41.26
10,RAXAUL,3,KAPIL DEV PRASAD,Jan Suraaj Party,14585,71,14656,6.8
10,RAXAUL,4,MD KALIM,Independent,1169,1,1170,0.54
10,RAXAUL,5,DHURENDRA KUMAR,Independent,1460,0,1460,0.68
10,RAXAUL,6,NOTA,None of the Above,2505,5,2510,1.17
11,SUGAULI,1,ZULFIQUAR AFTAB,Bahujan Samaj Party,24750,286,25036,12.59
11,SUGAULI,2,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),98595,280,98875,49.74
11,SUGAULI,3,AJAY KUMAR JHA,Jan Suraaj Party,24546,172,24718,12.43
11,SUGAULI,4,JITENDRA TIWARI,Kisan Suraj Dal,4241,9,4250,2.14
11,SUGAULI,5,SHYAM KISHOR CHAUDHARY,Janshakti Janta Dal,40542,142,40684,20.47
11,SUGAULI,6,NOTA,None of the Above,5214,13,5227,2.63
12,NARKATIA,1,VISHAL KUMAR,Janata Dal (United),104104,346,104450,46.7
12,NARKATIA,2,SHAMIM AHMAD,Rashtriya Janata Dal,102429,578,103007,46.06
12,NARKATIA,3,LAL BABU PRASAD,Jan Suraaj Party,6949,53,7002,3.13
12,NARKATIA,4,UMAR FAROOQUE,Independent,815,1,816,0.36
12,NARKATIA,5,WASHISHTH PRASAD,Independent,1004,2,1006,0.45
12,NARKATIA,6,MD HARUN RASHID,Independent,1937,0,1937,0.87
12,NARKATIA,7,NOTA,None of the Above,5419,6,5425,2.43
13,HARSIDHI,1,KRISHNANANDAN PASWAN,Bharatiya Janata Party,96590,274,96864,47.74
13,HARSIDHI,2,RAJENDRA KUMAR,Rashtriya Janata Dal,89216,553,89769,44.24
13,HARSIDHI,3,AWADHESH KUMAR,Jan Suraaj Party,9487,81,9568,4.72
13,HARSIDHI,4,RAVI KANT RAVI,Kisan Suraj Dal,651,1,652,0.32
13,HARSIDHI,5,JAGDISH RAM,Independent,798,2,800,0.39
13,HARSIDHI,6,RAJENDRA PASWAN,Independent,2098,2,2100,1.03
13,HARSIDHI,7,NOTA,None of the Above,3142,4,3146,1.55
14,GOVINDGANJ,1,AJEET KUMAR RAM,Bahujan Samaj Party,1805,10,1815,0.99
14,GOVINDGANJ,2,ASHOK KUMAR SINGH,Aam Aadmi Party,929,0,929,0.51
14,GOVINDGANJ,3,RAJU TIWARI,Lok Janshakti Party (Ram Vilas),95684,350,96034,52.55
14,GOVINDGANJ,4,SHASHI BHUSHAN RAI ALIAS GAPPU RAI,Indian National Congress,62965,386,63351,34.67
14,GOVINDGANJ,5,ASHUTOSH KUMAR,Janshakti Janta Dal,3465,6,3471,1.9
14,GOVINDGANJ,6,KRISHNA KANT MISHRA,Jan Suraaj Party,9767,63,9830,5.38
14,GOVINDGANJ,7,NITESH KUMAR SHRIVASTAVA,The Plurals Party,3768,2,3770,2.06
14,GOVINDGANJ,8,RAHUL KUMAR PRIYADARSHY,Akhand Bhartiya Yuva Party,629,1,630,0.34
14,GOVINDGANJ,9,NOTA,None of the Above,2906,5,2911,1.59
15,KESARIA,1,RAM ADHAR RAI,Aam Aadmi Party,2658,5,2663,1.51
15,KESARIA,2,SHALINI MISHRA,Janata Dal (United),77879,313,78192,44.26
15,KESARIA,3,CHUTUN KUMAR,Rashtriya Jansambhavna Party,2249,4,2253,1.28
15,KESARIA,4,NAJ AHAMAD KHAN,Jan Suraaj Party,11132,74,11206,6.34
15,KESARIA,5,VARUN VIJAY,Vikassheel Insaan Party,61591,261,61852,35.01
15,KESARIA,6,VINOD KUMAR,Janshakti Janta Dal,3303,10,3313,1.88
15,KESARIA,7,CHANDRESHWAR MISHRA,Independent,4342,0,4342,2.46
15,KESARIA,8,PUNAM DEVI,Independent,2117,14,2131,1.21
15,KESARIA,9,RAM SHARAN PRASAD YADAV,Independent,2767,15,2782,1.57
15,KESARIA,10,SUNIL KUMAR,Independent,4562,5,4567,2.58
15,KESARIA,11,NOTA,None of the Above,3378,4,3382,1.91
16,KALYANPUR,1,MANOJ KUMAR YADAV,Rashtriya Janata Dal,73030,459,73489,39.46
16,KALYANPUR,2,MD BADIUZZAMAN,Bahujan Samaj Party,4439,51,4490,2.41
16,KALYANPUR,3,RAMBABU DAS,Aam Aadmi Party,577,2,579,0.31
16,KALYANPUR,4,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,88759,298,89057,47.82
16,KALYANPUR,5,ARVIND KUMAR PANDEY,Lohiya Janta Dal,2249,1,2250,1.21
16,KALYANPUR,6,MANTOSH KUMAR SAHNI,Jan Suraaj Party,5158,48,5206,2.8
16,KALYANPUR,7,MOHIT KUMAR,Jagrook Janta Party,624,0,624,0.34
16,KALYANPUR,8,ASHOK KUMAR YADAV,Independent,2586,19,2605,1.4
16,KALYANPUR,9,NITESH KUMAR SINGH,Independent,1626,0,1626,0.87
16,KALYANPUR,10,RAKESH KUMAR PANDIT,Independent,517,0,517,0.28
16,KALYANPUR,11,SUBODH KUMAR,Independent,2504,8,2512,1.35
16,KALYANPUR,12,NOTA,None of the Above,3256,4,3260,1.75
17,PIPRA,1,BIPUL KUMAR,Bahujan Samaj Party,4684,11,4695,1.92
17,PIPRA,2,RAJMANGAL PRASAD,Communist Party of India (Marxist),99129,548,99677,40.74
17,PIPRA,3,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,110119,303,110422,45.13
17,PIPRA,4,AMIT KUMAR KUSHWAHA,Nationalist Congress Party,2031,10,2041,0.83
17,PIPRA,5,KUNDAN KUMAR,Bharat Jan Jagran Dal,1430,9,1439,0.59
17,PIPRA,6,JAGDISH PRASAD,Bajjikanchal Vikas Party,851,0,851,0.35
17,PIPRA,7,SHYAM KUMAR,Kisan Suraj Dal,857,2,859,0.35
17,PIPRA,8,SUBODH KUMAR,Jan Suraaj Party,9431,56,9487,3.88
17,PIPRA,9,MD MUMTAZ ALAM,Independent,2045,9,2054,0.84
17,PIPRA,10,RAVIRANJAN KUMAR,Independent,4409,1,4410,1.8
17,PIPRA,11,RAJMANGAL PRASAD,Independent,4867,5,4872,1.99
17,PIPRA,12,NOTA,None of the Above,3843,7,3850,1.57
18,MADHUBAN,1,KUNAL BHUSHAN ALIAS BITTU,Aam Aadmi Party,2592,10,2602,1.42
18,MADHUBAN,2,RANA RANDHIR,Bharatiya Janata Party,85683,319,86002,46.78
18,MADHUBAN,3,SANDHYA RANI,Rashtriya Janata Dal,80025,485,80510,43.8
18,MADHUBAN,4,HARISHCHANDRA KUMAR PRASAD,Bahujan Samaj Party,1503,5,1508,0.82
18,MADHUBAN,5,VIJAY KUMAR KUSHWAHA,Jan Suraaj Party,5361,22,5383,2.93
18,MADHUBAN,6,SHIVSHANKAR RAY,Janshakti Janta Dal,1099,2,1101,0.6
18,MADHUBAN,7,SHASHI RANJAN KUMAR ALIAS SONU SINGH,Independent,2647,0,2647,1.44
18,MADHUBAN,8,SYED MOHAMMAD IMAM,Independent,2005,2,2007,1.09
18,MADHUBAN,9,NOTA,None of the Above,2063,1,2064,1.12
19,MOTIHARI,1,DEWA GUPTA,Rashtriya Janata Dal,91875,642,92517,43.17
19,MOTIHARI,2,PRAMOD KUMAR,Bharatiya Janata Party,105645,435,106080,49.5
19,MOTIHARI,3,FAKHRE ALAM,Bahujan Samaj Party,1146,8,1154,0.54
19,MOTIHARI,4,ATUL KUMAR,Jan Suraaj Party,6521,71,6592,3.08
19,MOTIHARI,5,SIKANDAR CHAUDHARY,Rashtriya Jansambhavna Party,510,2,512,0.24
19,MOTIHARI,6,SUSHIL KUMAR,The Plurals Party,323,0,323,0.15
19,MOTIHARI,7,DIVYANSHU BHARDWAJ,Independent,2059,23,2082,0.97
19,MOTIHARI,8,DUKHIT RAY,Independent,603,0,603,0.28
19,MOTIHARI,9,BRAJBIHARI YADAV,Independent,1647,0,1647,0.77
19,MOTIHARI,10,NOTA,None of the Above,2779,22,2801,1.31
20,CHIRAIA,1,LAKSHMI NARAYAN PRASAD YADAV,Rashtriya Janata Dal,50854,358,51212,25.81
20,CHIRAIA,2,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,90308,264,90572,45.65
20,CHIRAIA,3,MUKESH KUMAR,Janshakti Janta Dal,2917,3,2920,1.47
20,CHIRAIA,4,MOHAMMAD MAHTAB ALAM,Samaj Shakti Party,773,3,776,0.39
20,CHIRAIA,5,SANJAY KUMAR,Jan Suraaj Party,15499,91,15590,7.86
20,CHIRAIA,6,ACHCHHELAL PRASAD,Independent,34656,218,34874,17.58
20,CHIRAIA,7,NOTA,None of the Above,2474,0,2474,1.25
21,DHAKA,1,PAWAN KUMAR JAISWAL,Bharatiya Janata Party,112198,351,112549,45.64
21,DHAKA,2,FAISAL RAHMAN,Rashtriya Janata Dal,112079,648,112727,45.72
21,DHAKA,3,MADHUSUDAN KUMAR,Aam Aadmi Party,908,4,912,0.37
21,DHAKA,4,SIKANDAR BHARTI,Bahujan Samaj Party,393,3,396,0.16
21,DHAKA,5,KEDAR RAM,Nayak Yuva Kranti Party,215,0,215,0.09
21,DHAKA,6,DOCTOR L. B. PRASAD,Jan Suraaj Party,8263,84,8347,3.39
21,DHAKA,7,NAGINA PASWAN,Rashtriya Jansambhavna Party,477,0,477,0.19
21,DHAKA,8,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,5704,26,5730,2.32
21,DHAKA,9,MD SALIM,Independent,495,0,495,0.2
21,DHAKA,10,SUBODH KUMAR,Independent,1684,1,1685,0.68
21,DHAKA,11,NOTA,None of the Above,3042,5,3047,1.24
22,SHEOHAR,1,NAVNEET KUMAR,Rashtriya Janata Dal,65646,225,65871,31.35
22,SHEOHAR,2,MD SHARFUDDIN,Bahujan Samaj Party,16357,112,16469,7.84
22,SHEOHAR,3,SHWETA GUPTA,Janata Dal (United),97081,188,97269,46.29
22,SHEOHAR,4,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1464,0,1464,0.7
22,SHEOHAR,5,NIRAJ SINGH,Jan Suraaj Party,13880,72,13952,6.64
22,SHEOHAR,6,PURUSHOTTAM KUMAR,GaribJanta Party Loktantrik,1023,1,1024,0.49
22,SHEOHAR,7,MAMTA KUMARI,Rashtriya Jansambhavna Party,802,0,802,0.38
22,SHEOHAR,8,ANISH KUMAR,Independent,1100,0,1100,0.52
22,SHEOHAR,9,PRAKASH KUMAR,Independent,1363,0,1363,0.65
22,SHEOHAR,10,VIJAYCHANDRA JHA,Independent,4466,0,4466,2.13
22,SHEOHAR,11,SANJAY SANGHARSH SINGH,Independent,1488,1,1489,0.71
22,SHEOHAR,12,NOTA,None of the Above,4839,3,4842,2.3
23,RIGA,1,AMIT KUMAR,Indian National Congress,83975,293,84268,38.84
23,RIGA,2,BAIDYANATH PRASAD,Bharatiya Janata Party,117252,141,117393,54.11
23,RIGA,3,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2255,1,2256,1.04
23,RIGA,4,KRISHNA MOHAN SINGH,Jan Suraaj Party,3055,23,3078,1.42
23,RIGA,5,NAGENDRA KUMAR PASWAN,Peoples Party of India (Democratic),351,5,356,0.16
23,RIGA,6,DHIRAJ KUMAR,Independent,423,0,423,0.19
23,RIGA,7,DR. PRADEEP KUMAR JAYASWAL,Independent,809,1,810,0.37
23,RIGA,8,MOTILAL RAUT,Independent,849,0,849,0.39
23,RIGA,9,RAMNATH MAHTO,Independent,669,0,669,0.31
23,RIGA,10,RAMASHISH RAY,Independent,4039,2,4041,1.86
23,RIGA,11,NOTA,None of the Above,2796,3,2799,1.29
24,BATHNAHA,1,ANIL KUMAR,Bharatiya Janata Party,123473,225,123698,57.47
24,BATHNAHA,2,AMRITA SONI,Rashtriya Lok Janshakti Party,1873,4,1877,0.87
24,BATHNAHA,3,NAVIN KUMAR,Indian National Congress,71619,310,71929,33.42
24,BATHNAHA,4,SAHDEO RAM,Bahujan Samaj Party,1750,4,1754,0.81
24,BATHNAHA,5,DEEPAK RAJ,Janshakti Vikas Party (Democratic),825,0,825,0.38
24,BATHNAHA,6,NAWAL KISHOR CHOUDHARY,Jan Suraaj Party,5245,37,5282,2.45
24,BATHNAHA,7,MANOJ SADA,Lok Dal,661,1,662,0.31
24,BATHNAHA,8,SUNIL RAM,"Proutist Bloc, India",583,0,583,0.27
24,BATHNAHA,9,ARCHANA KUMARI,Independent,1664,9,1673,0.78
24,BATHNAHA,10,PRAMOD BAITHA,Independent,1972,0,1972,0.92
24,BATHNAHA,11,BRAJESH PASWAN,Independent,1191,3,1194,0.55
24,BATHNAHA,12,NOTA,None of the Above,3800,7,3807,1.77
25,PARIHAR,1,AKHILESH NARAYAN THAKUR,Aam Aadmi Party,2010,3,2013,0.96
25,PARIHAR,2,GAYETRI DEVI,Bharatiya Janata Party,82559,85,82644,39.36
25,PARIHAR,3,SMITA GUPTA,Rashtriya Janata Dal,48374,160,48534,23.11
25,PARIHAR,4,AWADHESH PRASAD,Jan Suraaj Party,3201,16,3217,1.53
25,PARIHAR,5,CHANDRABHUSHAN KUMAR,Independent,1361,1,1362,0.65
25,PARIHAR,6,MAHENDRA SINGH YADAV,Independent,1614,1,1615,0.77
25,PARIHAR,7,MOHD MUKSAID ALAM,Independent,794,0,794,0.38
25,PARIHAR,8,RAM VINOD NAYAK,Independent,1964,0,1964,0.94
25,PARIHAR,9,RITU JAISWAL,Independent,65271,184,65455,31.17
25,PARIHAR,10,NOTA,None of the Above,2379,0,2379,1.13
26,SURSAND,1,ANIL KUMAR,Bahujan Samaj Party,1216,2,1218,0.59
26,SURSAND,2,RISHI KUMAR AGRAWAL,Aam Aadmi Party,1534,7,1541,0.74
26,SURSAND,3,PROF. NAGENDRA RAUT,Janata Dal (United),103962,195,104157,50.04
26,SURSAND,4,SYED ABU DOJANA,Rashtriya Janata Dal,80245,245,80490,38.67
26,SURSAND,5,USHA KIRAN,Jan Suraaj Party,5951,42,5993,2.88
26,SURSAND,6,SATISH KUMAR MISHRA,Vikas Vanchit Insan Party,924,0,924,0.44
26,SURSAND,7,KAMESHWAR THAKUR,Independent,1768,1,1769,0.85
26,SURSAND,8,PRABHAT KUMAR,Independent,2303,7,2310,1.11
26,SURSAND,9,MANOJ KUMAR,Independent,1938,0,1938,0.93
26,SURSAND,10,RAJEEV NAND,Independent,3625,0,3625,1.74
26,SURSAND,11,VINAY KUMAR,Independent,1044,1,1045,0.5
26,SURSAND,12,NOTA,None of the Above,3131,3,3134,1.51
27,BAJPATTI,1,DEONANDAN RAM,Bahujan Samaj Party,2180,6,2186,0.99
27,BAJPATTI,2,MUKESH KUMAR YADAV,Rashtriya Janata Dal,95488,261,95749,43.47
27,BAJPATTI,3,RANDHIR KUMAR,Aam Aadmi Party,1387,2,1389,0.63
27,BAJPATTI,4,ABDUL HASIB,Peace Party,795,1,796,0.36
27,BAJPATTI,5,AAJAM KHAN,Jan Suraaj Party,6138,36,6174,2.8
27,BAJPATTI,6,MOHAMMAD AFTAB,Apna Adhikar Party,918,2,920,0.42
27,BAJPATTI,7,RAKESH KUMAR,The Plurals Party,3079,1,3080,1.4
27,BAJPATTI,8,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,99034,110,99144,45.02
27,BAJPATTI,9,SUSHIL RAJ,Bhartiya Sarthak Party,1282,1,1283,0.58
27,BAJPATTI,10,AJEET KUMAR JHA,Independent,835,3,838,0.38
27,BAJPATTI,11,ASHA CHOUDHARY,Independent,793,1,794,0.36
27,BAJPATTI,12,MOHD. ZEYAUR RAHMAN,Independent,2479,1,2480,1.13
27,BAJPATTI,13,MD. MUNNA MANSURI,Independent,3102,3,3105,1.41
27,BAJPATTI,14,NOTA,None of the Above,2298,5,2303,1.05
28,SITAMARHI,1,RAJ NARAYAN SAH,Bahujan Samaj Party,1331,3,1334,0.62
28,SITAMARHI,2,SUNIL KUMAR,Rashtriya Janata Dal,98243,421,98664,45.54
28,SITAMARHI,3,SUNIL KUMAR PINTU,Bharatiya Janata Party,103952,274,104226,48.11
28,SITAMARHI,4,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2417,2,2419,1.12
28,SITAMARHI,5,KRISHNA KUMAR JHA,"Proutist Bloc, India",337,1,338,0.16
28,SITAMARHI,6,POOJA ARYA,Lok Dal,168,1,169,0.08
28,SITAMARHI,7,CHANDRIKA PRASAD,Independent,260,1,261,0.12
28,SITAMARHI,8,CHANDESHWAR PRASAD,Independent,993,2,995,0.46
28,SITAMARHI,9,THAKUR CHANDAN KUMAR  SINGH,Independent,223,1,224,0.1
28,SITAMARHI,10,MAHESH NANDAN SINGH,Independent,454,1,455,0.21
28,SITAMARHI,11,RAGHVENDRA KUMAR,Independent,592,0,592,0.27
28,SITAMARHI,12,RAM KISHOR RAY,Independent,2867,0,2867,1.32
28,SITAMARHI,13,VINOD SAH,Independent,1825,0,1825,0.84
28,SITAMARHI,14,NOTA,None of the Above,2279,5,2284,1.05
29,RUNNISAIDPUR,1,CHANDAN KUMAR,Rashtriya Janata Dal,73843,92,73935,38.28
29,RUNNISAIDPUR,2,JITENDRA RAM,Bahujan Samaj Party,2091,1,2092,1.08
29,RUNNISAIDPUR,3,PANKAJ KUMAR,Janata Dal (United),93580,92,93672,48.5
29,RUNNISAIDPUR,4,IMTIYAZ ALAM NASIR AHMED,Desh Janhit Party,3489,1,3490,1.81
29,RUNNISAIDPUR,5,PRAMOD KUMAR,Janshakti Janta Dal,1229,2,1231,0.64
29,RUNNISAIDPUR,6,VIJAY KUMAR SAH,Jan Suraaj Party,7645,26,7671,3.97
29,RUNNISAIDPUR,7,SHRAVAN SAHNI,Rashtriya Jansambhavna Party,1713,1,1714,0.89
29,RUNNISAIDPUR,8,SANJAY KUMAR,Independent,3737,0,3737,1.93
29,RUNNISAIDPUR,9,SUJAY KUMAR YADAV,Independent,1287,0,1287,0.67
29,RUNNISAIDPUR,10,NOTA,None of the Above,4312,3,4315,2.23
30,BELSAND,1,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),81975,101,82076,44.83
30,BELSAND,2,RANA RANDHIR SINGH CHOUHAN,Bahujan Samaj Party,7567,33,7600,4.15
30,BELSAND,3,SHAMIM ALAM,Rashtriya Lok Janshakti Party,1703,3,1706,0.93
30,BELSAND,4,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,59198,193,59391,32.44
30,BELSAND,5,AMBIKA SAH,Rashtriya Jansambhavna Party,2557,2,2559,1.4
30,BELSAND,6,ARPNA SINGH,Jan Suraaj Party,18969,56,19025,10.39
30,BELSAND,7,VIKASH KUMAR,Janshakti Janta Dal,2283,1,2284,1.25
30,BELSAND,8,RUDAL SAH,Independent,879,0,879,0.48
30,BELSAND,9,SHYAM BABU SINGH,Independent,1441,1,1442,0.79
30,BELSAND,10,NOTA,None of the Above,6108,2,6110,3.34
31,HARLAKHI,1,SUDHANSHU SHEKHAR,Janata Dal (United),85239,247,85486,46.6
31,HARLAKHI,2,JITENDER YADAV,Janshakti Janta Dal,1905,2,1907,1.04
31,HARLAKHI,3,RATNESHWAR THAKUR,Jan Suraaj Party,7915,67,7982,4.35
31,HARLAKHI,4,RAKESH KUMAR PANDEY,Communist Party of India,49006,244,49250,26.85
31,HARLAKHI,5,VIVEK KUMAR JHA,Rashtrawadi Janlok Party (Satya),1250,2,1252,0.68
31,HARLAKHI,6,SHIVLAL PASWAN,Rashtriya Samaj Paksha,1044,2,1046,0.57
31,HARLAKHI,7,SATISH SHARMA,Jagrook Janta Party,1091,0,1091,0.59
31,HARLAKHI,8,ANIL JHA,Independent,3239,1,3240,1.77
31,HARLAKHI,9,MD. SHABBIR,Independent,21963,78,22041,12.02
31,HARLAKHI,10,SANJEET KUMAR BADAL GUPTA,Independent,3155,9,3164,1.72
31,HARLAKHI,11,NOTA,None of the Above,6970,8,6978,3.8
32,BENIPATTI,1,GHATA DEWANGAN,Bahujan Samaj Party,1363,5,1368,0.78
32,BENIPATTI,2,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,62934,287,63221,36.08
32,BENIPATTI,3,VINOD NARAYAN JHA,Bharatiya Janata Party,86932,221,87153,49.74
32,BENIPATTI,4,SHUBHADA YADAV,Aam Aadmi Party,1533,3,1536,0.88
